단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
034120,KR7034120006,SBS,ST,2.0,0,26,0,N,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,N,0,Y,N,,N,N,N,N,N,25700,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,16781,5000,20030625,18252,91262910000,12.0,,0,,N,N,Y,7270,392,539,432,6.66,20230930.0,4690,844,N,N,N
034220,KR7034220004,LG디스플레이,ST,1.0,0,13,0,Y,N,N,5,Y,Y,Y,,Y,Y,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,Y,12700,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,1197139,5000,20040723,357815,1789078500000,12.0,,0,,N,Y,Y,139349,-26419,-33584,-2627,-43.32,20230930.0,45442,282,N,N,N
034300,KR7034300004,신세계건설,ST,3.0,0,18,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,13880,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,9426,5000,20020617,4000,20000000000,12.0,,0,,N,N,Y,11601,-903,-983,-767,-42.26,20230930.0,555,577,N,N,N
034310,KR7034310003,NICE,ST,3.0,0,26,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,13110,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,14964,500,20040204,37882,18941150000,12.0,,0,,N,N,Y,20721,714,735,502,6.1,20230930.0,4966,,N,N,N
034590,KR7034590000,인천도시가스,ST,3.0,0,17,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,26000,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,1142,5000,20061107,4374,21873770000,12.0,,0,,N,N,Y,2758,61,75,58,11.56,20230331.0,1137,,N,N,N
034730,KR7034730002,SK,ST,1.0,0,21,0,N,N,Y,4,Y,Y,Y,,Y,Y,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,Y,161800,1,1,N,N,N,0,N,N,N,0,0,0,20,Y,90,95290,200,20091111,73198,16029865800,12.0,,0,,N,Y,Y,985840,42548,9101,11721,1.85,20230930.0,118434,535,N,N,N
03473K,KR703473K016,SK우,ST,0.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,130600,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,722,200,20150817,566,113227000,12.0,,9,,N,N,N,0,0,0,0,0.0,,739,,N,N,N
034830,KR7034830000,한국토지신탁,ST,3.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,1222,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,248973,1000,20160711,252489,252489230000,12.0,,0,,N,N,Y,883,162,-219,-157,-3.07,20230630.0,3085,,N,N,N
035000,KR7035000009,HS애드,ST,3.0,0,26,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,6370,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,12644,1000,19990811,16567,17571493000,12.0,,0,,N,N,Y,3583,90,83,49,3.7,20230930.0,1055,282,N,N,N
035150,KR7035150002,백산,ST,3.0,0,8,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,9330,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,177570,500,19990811,22500,14107500000,12.0,,0,,N,N,Y,3176,411,452,348,24.65,20230930.0,2099,,N,N,N
035250,KR7035250000,강원랜드,ST,1.0,0,26,0,N,N,Y,8,Y,N,Y,,N,Y,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,15770,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,558233,500,20030904,213940,106970250000,12.0,,0,,N,Y,Y,10632,2435,3558,2672,10.11,20230930.0,33738,,N,N,N
035420,KR7035420009,NAVER,ST,1.0,0,26,0,N,N,N,B,Y,Y,Y,,Y,Y,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,206000,1,1,N,N,N,0,N,N,N,0,0,0,20,Y,90,538210,100,20081128,162408,16481339500,12.0,,0,,N,Y,Y,71336,10833,10422,6866,4.09,20230930.0,334561,LB4,N,N,N
035510,KR7035510007,신세계 I&C,ST,3.0,0,26,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,12490,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,15333,500,20060518,17200,8600000000,12.0,,0,,N,N,Y,4584,281,306,240,8.58,20230930.0,2148,577,N,N,N
035720,KR7035720002,카카오,ST,1.0,0,26,0,N,N,N,B,Y,Y,Y,,Y,Y,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,49850,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,1480318,100,20170710,444495,44499597000,12.0,,0,,N,Y,Y,59437,3249,3139,1693,2.16,20230930.0,221581,KAO,N,N,N
036420,KR7036420008,콘텐트리중앙,ST,3.0,0,26,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,16680,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,837860,5000,20191018,19262,96311540000,12.0,,0,,N,N,Y,7356,-159,-737,-786,-54.29,20230930.0,3212,,N,N,N
036460,KR7036460004,한국가스공사,ST,2.0,0,17,0,N,N,N,7,Y,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,Y,24600,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,112122,5000,19991215,92313,461565000000,12.0,,0,,N,Y,Y,339468,10238,-872,-902,-1.32,20230930.0,22708,,N,N,N
036530,KR7036530004,SNT홀딩스,ST,3.0,0,21,0,N,N,N,0,N,N,Y,,N,N,Y,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,17300,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,6227,500,20021022,16303,8351943000,12.0,,0,,N,N,Y,13901,1327,1805,1458,9.84,20230930.0,2820,,N,N,N
036570,KR7036570000,엔씨소프트,ST,1.0,0,26,0,N,N,N,B,Y,Y,Y,,Y,Y,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,271000,1,1,N,N,N,0,N,N,N,0,0,0,20,Y,90,257641,500,20030522,21954,10977011000,12.0,,0,,N,Y,Y,13421,1334,2266,1887,7.86,20230930.0,59495,,N,N,N
036580,KR7036580009,팜스코,ST,3.0,0,5,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,3030,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,37571,500,19991025,36727,18363971500,12.0,,0,,N,N,Y,14051,468,-124,-158,-8.43,20230930.0,1112,HRM,N,N,N
