단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
079940,KR7079940003,가비아,ST,3.0,1007,1017,1034,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,13780,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,41778,500,20051019,13535,6767842000,12,,0,,N,N,1243,196,167,133,11,20230630.0,1865,,N,N,N
079950,KR7079950002,인베니아,ST,3.0,0,1009,1027,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1069,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,24946,500,20050204,23200,11600000000,12,,0,,N,N,49,-106,-96,-96,-40,20230630.0,248,,N,N,N
079960,KR7079960001,동양이엔피,ST,3.0,1007,1018,1041,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,20350,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,19710,500,20050201,7860,3930000000,12,,0,,N,N,2635,205,258,204,14,20230630.0,1599,,N,N,N
079970,KR7079970000,투비소프트,ST,3.0,1007,1017,1036,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,605,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,147795,500,20100601,78505,39252501500,12,,0,,N,N,225,-24,-31,-33,-14,20230630.0,474,,N,N,N
080000,KR7080000003,에스엔유,ST,3.0,0,1009,1027,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2540,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,246864,500,20050125,34322,17161435000,12,,0,,N,N,856,37,96,68,6,20230930.0,871,,N,N,N
080010,KR7080010002,이상네트웍스,ST,3.0,1007,1017,1034,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,5430,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,17119,500,20050930,10000,5000000000,12,,0,,N,N,575,111,85,61,6,20230930.0,543,,N,N,N
080160,KR7080160005,모두투어,ST,2.0,1006,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,16010,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,83767,500,20050726,18900,9450000000,12,,0,,N,N,1331,125,85,97,21,20230930.0,3025,,N,N,N
080220,KR7080220007,제주반도체,ST,3.0,1007,1018,1040,N,N,N,,N,N,N,N,N,N,N,N,2,N,N,N,N,N,N,N,N,6910,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,25194780,500,20050201,34442,17371416500,12,,0,,N,N,1114,138,189,168,15,20230930.0,2379,,N,N,N
080420,KR7080420003,모다이노칩,ST,2.0,1007,1018,1041,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2550,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,10758,500,20051206,79721,39860811000,12,,0,,N,N,2831,126,-2,-25,-1,20230930.0,2032,,N,N,N
080470,KR7080470008,성창오토텍,ST,3.0,0,1009,1030,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,5210,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,1746,500,20061103,7300,3650000000,12,,0,,N,N,1271,45,62,51,11,20230930.0,380,,N,N,N
080520,KR7080520000,오디텍,ST,3.0,1007,1018,1040,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4500,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,15903,500,20071008,11746,5873304500,12,,0,,N,N,189,-19,52,44,7,20230630.0,528,,N,N,N
080530,KR7080530009,코디,ST,3.0,0,1009,1023,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1289,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,55184,500,20100105,31643,15821870000,12,,0,,N,N,404,4,-16,-15,-12,20230630.0,407,,N,N,N
080580,KR7080580004,오킨스전자,ST,3.0,1007,1018,1040,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4150,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,83475,500,20141224,17679,8839649000,12,,0,,N,N,248,4,-9,-7,-4,20230630.0,733,,N,N,N
080720,KR7080720006,한국유니온제약,ST,3.0,0,1009,1024,,N,N,,N,,,,,N,,,0,,,N,,,,,N,4560,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,13632,500,20180726,7903,3951864000,12,,0,,N,N,305,-15,-22,-22,-9,20230630.0,360,,N,N,N
081150,KR7081150005,티플랙스,ST,3.0,0,1009,1026,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,3185,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,167732,500,20090423,24268,12134201000,12,,0,,N,N,2577,213,203,156,10,20221231.0,772,,N,N,N
081580,KR7081580003,성우전자,ST,3.0,1007,1018,1041,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2150,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,53370,500,20071012,15508,7754071500,12,,0,,N,N,1134,-26,-1,-3,0,20230930.0,333,,N,N,N
082210,KR7082210006,옵트론텍,ST,3.0,1007,1018,1041,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,3135,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,104832,500,20050624,24483,12241972500,12,,0,,N,N,1583,113,136,131,48,20230930.0,767,,N,N,N
082270,KR7082270000,젬백스,ST,2.0,0,1009,1027,N,N,Y,,N,N,Y,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,14290,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,52474,500,20050624,39994,19997087000,12,,0,,N,N,403,57,-70,-70,-11,20230630.0,5715,,N,N,N
